text,note,advance
こんにちは。今日は何をしようかな。,ノイズ（挨拶＋独り言）,0
私はアイスクリームが好きです。特に抹茶味が好物です。,嗜好（やや重要・抹茶）,0
学生時代はずっとバスケットボール部に所属していました。,経歴（後で思い出すF1・中重要）,30m
今日はいい天気ですね。,ノイズ（天気）,2h
来週の木曜日に重大な新商品の開発会議が入っています。,重要（会議・来週木）,6h
新商品のコードネームは「あおぞら」です。,重要（固有名・後で長期保持/思い出し）,1d
明日は晴れみたいです。,ノイズ（天気予報）,1d
新商品の開発会議は再来週の水曜日に移動しました。,重要更新（会議・再来週水）,2d
うーん、何をしようかな。,ノイズ（独り言）,1d
マインクラフトで松明ってどうやって作るんだっけ。,質問（保存優先度低）,0
再来週に会議って入っていましたっけ？,確認質問（更新後の会議日を想起できるか）,0
おひさしぶり、最近どうしてる？しばらく話してなかったね。,ノイズ（長期経過の起点・+5年）,5y
今日もいい天気だなあ。特に予定はないかな。,ノイズ（さらに+5年＝累計約10年経過）,5y
ところで、私が学生時代にやっていた部活って何だっけ？,思い出しテスト（部活F1をアーカイブから復元できるか）,0
新商品「あおぞら」のことって、まだ覚えてる？,思い出しテスト（固有名の長期保持/復元）,0
私はアイスクリームが好きです。,重複再出現（near-dup補強 or savings復元）,30d
私の好きな食べ物は何か覚えてる？,嗜好の想起テスト,0
